Date Soumission;Profil Rôle;Usages recherchés (Contextes d'Usage);Attentes de la formation;Outils IA déjà utilisés
31/08/2026 15:20:21;"Technique / Informatique";"Rédaction de courriers & rapports, Synthèse de documents & notes, Recherche d'informations & veille, Analyse de données & chiffres, Création de visuels & diaporamas";"Gagner du temps, Découvrir de nouveaux outils, Comprendre les limites, Sécurité & RGPD, Pratique & cas concrets, Rédiger de bons prompts";"Gemini, ChatGPT"
31/08/2026 14:33:19;"Technique / Informatique";"Rédaction de courriers & rapports, Création de visuels & diaporamas, Synthèse de documents & notes";"Pratique & cas concrets, Gagner du temps";"ChatGPT"
31/08/2026 14:26:03;"Admin / Secrétariat";"Synthèse de documents & notes, Analyse de données & chiffres, Rédaction de courriers & rapports, Recherche d'informations & veille";"Comprendre les limites, Sécurité & RGPD, Rédiger de bons prompts";"ChatGPT, Mistral, Claude, Perplexity"
31/08/2026 12:17:48;"Cadre / Manager";"Synthèse de documents & notes, Analyse de données & chiffres";"Pratique & cas concrets, Découvrir de nouveaux outils, Gagner du temps";"ChatGPT, Mistral"
28/08/2026 08:50:45;"Admin / Secrétariat";"Rédaction de courriers & rapports, Synthèse de documents & notes, Recherche d'informations & veille";"Comprendre les limites, Gagner du temps";"ChatGPT, Claude"
27/08/2026 17:05:14;"Admin / Secrétariat";"Analyse de données & chiffres, Synthèse de documents & notes, Création de visuels & diaporamas";"Découvrir de nouveaux outils, Comprendre les limites, Gagner du temps";"ChatGPT"
27/08/2026 16:26:17;"Culture / Éducation";"Rédaction de courriers & rapports, Création de visuels & diaporamas";"Pratique & cas concrets, Découvrir de nouveaux outils, Comprendre les limites, Sécurité & RGPD, Rédiger de bons prompts";"ChatGPT"
27/08/2026 16:22:30;"Admin / Secrétariat";"Admin/secrétariat + culture/éducation, Planning du personnel, Analyse de données & chiffres";"Gagner du temps, Pratique & cas concrets, Rédiger de bons prompts";"ChatGPT, Canva"
27/08/2026 15:41:41;"Culture / Éducation";"Création de visuels & diaporamas, Brainstorming & idées de projets, Admin/secrétariat + culture/éducation, Synthèse de documents & notes";"Découvrir de nouveaux outils, Comprendre les limites, Sécurité & RGPD, Gagner du temps";"ChatGPT, Canva"
26/08/2026 16:20:42;"Admin / Secrétariat";"";"Découvrir de nouveaux outils";""
26/08/2026 15:31:51;"Cadre / Manager";"Rédaction de courriers & rapports, Recherche d'informations & veille, Synthèse de documents & notes, Analyse de données & chiffres, Création de visuels & diaporamas";"Découvrir de nouveaux outils, Comprendre les limites, Sécurité & RGPD, Rédiger de bons prompts";"ChatGPT"
25/08/2026 15:51:19;"Admin / Secrétariat";"Synthèse de documents & notes, Analyse de données & chiffres, Recherche d'informations & veille";"Découvrir de nouveaux outils, Comprendre les limites, Pratique & cas concrets";"ChatGPT"
25/08/2026 15:41:05;"Admin / Secrétariat";"Analyse de données & chiffres";"Comprendre les limites, Sécurité & RGPD";"ChatGPT, Gemini, Claude"
25/08/2026 14:12:32;"Admin / Secrétariat";"Rédaction de courriers & rapports, Recherche d'informations & veille, Création de visuels & diaporamas, Admin/secrétariat + culture/éducation";"Découvrir de nouveaux outils, Sécurité & RGPD, Gagner du temps";"ChatGPT, Mistral, Canva"
25/08/2026 13:54:30;"Admin / Secrétariat";"Synthèse de documents & notes, Rédaction de courriers & rapports, Analyse de données & chiffres";"Comprendre les limites, Sécurité & RGPD, Rédiger de bons prompts";"ChatGPT, Gemini"
25/08/2026 13:49:33;"Culture / Éducation";"Création de visuels & diaporamas, Recherche d'informations & veille, Planning du personnel, Admin/secrétariat + culture/éducation, Rédaction de courriers & rapports, Synthèse de documents & notes";"Gagner du temps, Comprendre les limites, Sécurité & RGPD, Pratique & cas concrets, Découvrir de nouveaux outils, Rédiger de bons prompts";"Canva, ChatGPT, Gemini"
25/08/2026 13:14:33;"Admin / Secrétariat";"Rédaction de courriers & rapports, Synthèse de documents & notes, Création de visuels & diaporamas, Recherche d'informations & veille, Planning du personnel";"Découvrir de nouveaux outils, Comprendre les limites, Pratique & cas concrets, Sécurité & RGPD, Gagner du temps";"ChatGPT"
25/08/2026 12:55:51;"Cadre / Manager";"Rédaction de courriers & rapports, Synthèse de documents & notes, Recherche d'informations & veille, Création de visuels & diaporamas, Planning du personnel";"Gagner du temps, Découvrir de nouveaux outils, Comprendre les limites, Sécurité & RGPD, Pratique & cas concrets, Rédiger de bons prompts";"ChatGPT, Mistral"
25/08/2026 12:25:23;"Cadre / Manager";"Analyse de données & chiffres, Brainstorming & idées de projets, Planning du personnel";"Sécurité & RGPD, Gagner du temps";""
25/08/2026 12:24:03;"Cadre / Manager";"Analyse de données & chiffres, Brainstorming & idées de projets, Recherche d'informations & veille";"";""
25/08/2026 11:31:10;"Admin / Secrétariat";"Rédaction de courriers & rapports, Synthèse de documents & notes, Création de visuels & diaporamas, Recherche d'informations & veille";"Comprendre les limites, Pratique & cas concrets, Sécurité & RGPD, Gagner du temps";"Gemini"
25/08/2026 11:13:47;"Admin / Secrétariat";"Rédaction de courriers & rapports, Synthèse de documents & notes, Analyse de données & chiffres";"Rédiger de bons prompts";"ChatGPT, Claude"
25/08/2026 11:12:42;"Admin / Secrétariat";"Rédaction de courriers & rapports, Création de visuels & diaporamas, Synthèse de documents & notes, Recherche d'informations & veille";"Comprendre les limites, Découvrir de nouveaux outils, Rédiger de bons prompts, Gagner du temps";"Gemini, Canva, ChatGPT"
25/08/2026 11:12:26;"Admin / Secrétariat";"Rédaction de courriers & rapports, Création de visuels & diaporamas, Brainstorming & idées de projets";"Pratique & cas concrets, Gagner du temps";""
25/08/2026 11:07:32;"Admin / Secrétariat";"Rédaction de courriers & rapports, Recherche d'informations & veille, Admin/secrétariat + culture/éducation";"Rédiger de bons prompts, Gagner du temps";"ChatGPT"
25/08/2026 11:05:08;"Admin / Secrétariat";"Synthèse de documents & notes, Rédaction de courriers & rapports, Recherche d'informations & veille";"Découvrir de nouveaux outils, Comprendre les limites, Gagner du temps";"ChatGPT, Canva"
25/08/2026 10:46:50;"Autre Profil";"Admin/secrétariat + culture/éducation";"";""
25/08/2026 10:45:02;"Admin / Secrétariat";"Synthèse de documents & notes, Rédaction de courriers & rapports, Création de visuels & diaporamas";"Pratique & cas concrets, Découvrir de nouveaux outils";"ChatGPT, Gemini"
25/08/2026 10:44:52;"Cadre / Manager";"Synthèse de documents & notes, Recherche d'informations & veille, Brainstorming & idées de projets, Analyse de données & chiffres, Création de visuels & diaporamas, Rédaction de courriers & rapports";"Pratique & cas concrets, Rédiger de bons prompts";"ChatGPT, Gemini, Claude, Canva"
25/08/2026 10:41:30;"Cadre / Manager";"Création de visuels & diaporamas, Recherche d'informations & veille";"Découvrir de nouveaux outils, Comprendre les limites";""
27/07/2026 11:42:40;"Cadre / Manager";"Rédaction de courriers & rapports, Synthèse de documents & notes, Création de visuels & diaporamas, Brainstorming & idées de projets, Analyse de données & chiffres";"Pratique & cas concrets, Gagner du temps, Découvrir de nouveaux outils, Rédiger de bons prompts";"Canva, ChatGPT"
